연령군,성별,단계,운동명,빈도,비율%
성인,F,준비운동,유산소 운동 전 동적 루틴 스트레칭,4731,8.92
성인,F,준비운동,전신 루틴 스트레칭,4631,8.73
성인,F,준비운동,하지 루틴 스트레칭1,3565,6.72
성인,F,준비운동,상지 루틴 스트레칭,3287,6.2
성인,F,준비운동,목 스트레칭,2229,4.2
성인,F,준비운동,등/어깨 뒤쪽 스트레칭,1909,3.6
성인,F,준비운동,하지 루틴 스트레칭2,1871,3.53
성인,F,준비운동,가슴/어깨 앞쪽 스트레칭,1655,3.12
성인,F,준비운동,걷기,1624,3.06
성인,F,준비운동,허리 스트레칭,1613,3.04
성인,F,준비운동,아래 팔 스트레칭,1289,2.43
성인,F,준비운동,옆구리 스트레칭,1101,2.08
성인,F,준비운동,넙다리 뒤쪽 스트레칭,1084,2.04
성인,F,준비운동,배스트레칭,1078,2.03
성인,F,준비운동,엉덩이 스트레칭,1060,2.0
성인,F,준비운동,자가근막이완술 루틴 스트레칭,1028,1.94
성인,F,준비운동,트레드밀에서 걷기,952,1.8
성인,F,준비운동,실내 자전거타기,850,1.6
성인,F,준비운동,달리기,724,1.37
성인,F,준비운동,넙다리 안쪽 스트레칭,704,1.33
성인,F,준비운동,좌식생활자를 위한 동적 루틴 스트레칭,690,1.3
성인,F,준비운동,넙다리 앞쪽 스트레칭,671,1.27
성인,F,준비운동,앉았다 일어서기,543,1.02
성인,F,준비운동,진자운동,497,0.94
성인,F,준비운동,엎드려 버티기,463,0.87
성인,F,준비운동,동적 스트레칭 루틴프로그램,453,0.85
성인,F,준비운동,옆으로 누워서팔 앞으로 당기기,441,0.83
성인,F,준비운동,윗몸올리기,400,0.75
성인,F,준비운동,테이블 이용하여 팔 들어 올리기,332,0.63
성인,F,준비운동,계단 올라갔다 내려오기,313,0.59
성인,F,준비운동,줄넘기,307,0.58
성인,F,준비운동,정적 스트레칭 루틴프로그램,298,0.56
성인,F,준비운동,한발 앞으로 내밀고 앉았다 일어서기,279,0.53
성인,F,준비운동,수영,252,0.48
성인,F,준비운동,실외 자전거타기,247,0.47
성인,F,준비운동,테이블 이용하여 팔 옆으로 벌리기,210,0.4
성인,F,준비운동,어깨 뒤쪽 스트레칭,209,0.39
성인,F,준비운동,조깅,205,0.39
성인,F,준비운동,작은 공을 이용한 동적 루틴 스트레칭,188,0.35
성인,F,준비운동,팔굽혀펴기,186,0.35
성인,F,준비운동,팔벌려뛰기,184,0.35
성인,F,준비운동,계단 뛰어 오르기,168,0.32
성인,F,준비운동,누워서 다리 들어올리기,162,0.31
성인,F,준비운동,깍지 끼고 상체 숙이기,154,0.29
성인,F,준비운동,누워서 엉덩이 들어올리기,152,0.29
성인,F,준비운동,무릎 높여 제자리 달리기,152,0.29
성인,F,준비운동,옆으로 누워 버티기,151,0.28
성인,F,준비운동,짐볼을 이용한 동적 루틴 스트레칭,150,0.28
성인,F,준비운동,윗몸 말아 올리기,128,0.24
성인,F,준비운동,턱걸이,128,0.24
성인,F,준비운동,맨몸운동 루틴프로그램,123,0.23
성인,F,준비운동,버피운동,121,0.23
성인,F,준비운동,물병 옆으로 들어올리기,121,0.23
성인,F,준비운동,서서 뒤꿈치 들기,120,0.23
성인,F,준비운동,양팔 벌려 전신 비틀기,113,0.21
성인,F,준비운동,손목 펴기/굽히기,112,0.21
성인,F,준비운동,저항밴드 운동 루틴프로그램,109,0.21
