연령군,성별,연령구간,항목코드,항목,n,p5,p10,p25,p50,p75,p90,p95,평균,표준편차
성인,F,19~24,item_f018,BMI,7014,17.4,18.0,19.1,20.8,22.9,25.7,27.7,21.42,3.26
성인,F,25~29,item_f018,BMI,2817,17.6,18.1,19.1,20.5,22.4,24.8,26.9,21.14,2.99
성인,F,30~34,item_f018,BMI,1580,17.9,18.8,20.0,21.7,24.1,27.0,29.1,22.38,3.51
성인,F,35~39,item_f018,BMI,1763,18.5,19.1,20.3,22.0,24.2,26.88,28.9,22.59,3.26
성인,F,40~44,item_f018,BMI,2036,18.7,19.5,20.7,22.4,24.73,27.1,28.9,22.94,3.2
성인,F,45~49,item_f018,BMI,2228,19.0,19.8,21.2,23.0,25.3,27.8,29.6,23.46,3.26
성인,F,50~54,item_f018,BMI,2655,19.2,20.1,21.4,23.1,25.2,27.4,29.0,23.49,3.01
성인,F,55~59,item_f018,BMI,3075,19.5,20.3,21.8,23.4,25.4,27.8,29.43,23.79,3.03
성인,F,60~64,item_f018,BMI,3257,19.6,20.4,22.0,23.7,25.7,27.8,29.0,23.97,2.93
성인,F,19~24,item_f019,교차윗몸일으키기,6960,8.0,13.0,22.0,30.0,38.0,46.0,51.0,29.88,12.63
성인,F,25~29,item_f019,교차윗몸일으키기,2774,10.0,14.0,21.0,29.0,36.0,42.0,47.0,28.46,10.98
성인,F,30~34,item_f019,교차윗몸일으키기,1531,6.0,11.0,19.0,27.0,35.0,41.0,45.0,26.59,11.71
성인,F,35~39,item_f019,교차윗몸일으키기,1729,7.0,11.0,19.0,26.0,33.0,40.0,44.0,25.82,11.22
성인,F,40~44,item_f019,교차윗몸일으키기,1992,5.0,10.0,18.0,25.0,32.0,39.0,43.0,24.69,11.03
성인,F,45~49,item_f019,교차윗몸일으키기,2170,3.0,7.0,15.0,23.0,30.0,37.0,41.0,22.63,11.18
성인,F,50~54,item_f019,교차윗몸일으키기,2595,1.0,3.0,10.0,18.0,26.0,34.0,38.0,18.63,11.21
성인,F,55~59,item_f019,교차윗몸일으키기,2990,0.0,1.0,7.0,15.0,23.0,30.0,34.0,15.65,10.65
성인,F,60~64,item_f019,교차윗몸일으키기,3144,0.0,0.0,5.0,12.0,19.0,26.0,31.0,12.65,9.78
성인,F,19~24,item_f020,반복점프,3587,10.0,13.0,17.0,23.0,31.0,39.0,44.0,24.86,11.38
성인,F,25~29,item_f020,반복점프,1090,9.0,12.0,16.0,22.0,28.0,33.0,38.0,22.49,9.54
성인,F,30~34,item_f020,반복점프,682,7.0,9.1,14.0,20.0,26.0,33.0,38.0,20.71,10.37
성인,F,35~39,item_f020,반복점프,928,7.35,10.0,13.0,18.0,25.0,33.0,40.0,20.09,9.96
성인,F,40~44,item_f020,반복점프,1028,6.0,8.0,12.0,17.0,24.0,31.0,38.0,18.63,10.29
성인,F,45~49,item_f020,반복점프,1136,5.0,8.0,11.0,16.0,22.0,30.0,34.0,17.37,9.6
성인,F,50~54,item_f020,반복점프,1307,4.0,7.0,10.0,14.0,20.0,25.4,30.0,15.15,8.2
성인,F,55~59,item_f020,반복점프,1582,3.0,6.0,9.0,12.0,17.0,23.0,27.0,13.66,7.82
성인,F,60~64,item_f020,반복점프,1629,2.0,5.0,8.0,10.0,14.0,19.0,23.0,11.41,7.05
성인,F,19~24,item_f028,상대악력,7013,33.9,37.1,42.3,47.7,53.4,58.4,61.7,47.81,8.51
성인,F,25~29,item_f028,상대악력,2817,34.4,37.8,42.9,48.3,53.6,59.2,62.62,48.37,8.65
성인,F,30~34,item_f028,상대악력,1578,31.1,35.0,40.4,46.9,52.8,58.5,61.81,46.7,9.52
성인,F,35~39,item_f028,상대악력,1763,32.51,35.6,40.8,46.4,52.6,57.5,61.0,46.62,8.84
성인,F,40~44,item_f028,상대악력,2036,32.2,35.1,40.0,46.0,52.1,57.6,60.55,46.09,8.81
성인,F,45~49,item_f028,상대악력,2226,30.7,33.9,39.0,44.7,50.5,55.9,59.1,44.81,8.81
성인,F,50~54,item_f028,상대악력,2652,30.7,33.9,38.6,43.95,49.32,54.5,57.7,44.03,8.3
성인,F,55~59,item_f028,상대악력,3072,30.3,33.0,37.8,43.0,48.4,53.2,56.4,43.13,8.06
성인,F,60~64,item_f028,상대악력,3251,29.7,32.6,37.1,42.0,47.4,52.3,55.2,42.34,7.81
성인,F,19~24,item_f001,신장,7014,154.2,156.3,159.5,163.1,166.57,169.7,171.4,162.98,5.31
성인,F,25~29,item_f001,신장,2817,154.0,156.2,159.7,163.3,166.8,170.0,172.0,163.2,5.48
성인,F,30~34,item_f001,신장,1580,153.0,155.09,158.0,161.9,165.4,169.1,170.91,161.81,5.74
성인,F,35~39,item_f001,신장,1763,152.62,154.92,157.7,161.4,164.8,168.18,170.0,161.37,5.43
성인,F,40~44,item_f001,신장,2036,152.0,154.0,157.1,160.2,163.7,167.0,169.0,160.4,5.31
성인,F,45~49,item_f001,신장,2228,150.44,152.5,155.88,159.3,162.62,165.9,167.9,159.19,5.38
성인,F,50~54,item_f001,신장,2655,149.9,151.8,154.6,158.0,161.4,164.66,166.5,158.05,5.2
성인,F,55~59,item_f001,신장,3075,148.5,150.4,153.4,156.9,160.0,163.1,164.9,156.74,5.08
성인,F,60~64,item_f001,신장,3257,147.88,149.6,152.2,155.6,159.0,162.2,164.0,155.72,5.01
성인,F,19~24,item_f008,악력(우),7013,18.7,20.3,23.2,26.3,29.7,32.7,34.9,26.5,5.06
성인,F,25~29,item_f008,악력(우),2816,19.0,20.7,23.4,26.4,29.6,32.8,34.9,26.57,4.94
성인,F,30~34,item_f008,악력(우),1577,17.98,20.0,23.0,26.4,29.9,33.3,35.34,26.5,5.32
성인,F,35~39,item_f008,악력(우),1762,18.9,20.5,23.5,26.6,29.6,32.79,34.79,26.64,5.01
성인,F,40~44,item_f008,악력(우),2036,18.3,20.1,23.1,26.4,29.6,32.8,34.4,26.38,4.97
성인,F,45~49,item_f008,악력(우),2224,17.52,19.63,22.6,25.9,29.0,31.8,33.68,25.77,5.0
성인,F,50~54,item_f008,악력(우),2651,16.95,19.0,21.9,25.1,28.15,30.7,32.4,24.96,4.78
성인,F,55~59,item_f008,악력(우),3071,17.1,18.8,21.5,24.5,27.4,30.0,31.5,24.4,4.55
성인,F,60~64,item_f008,악력(우),3246,16.7,18.35,20.9,23.8,26.6,29.3,31.1,23.8,4.5
성인,F,19~24,item_f007,악력(좌),7013,17.1,18.82,21.4,24.5,27.6,30.6,32.7,24.62,4.8
성인,F,25~29,item_f007,악력(좌),2816,17.4,19.1,21.6,24.5,27.8,30.75,33.0,24.79,4.81
성인,F,30~34,item_f007,악력(좌),1578,16.7,18.4,21.4,24.8,28.4,31.7,33.3,24.89,5.29
성인,F,35~39,item_f007,악력(좌),1762,17.5,19.3,21.9,25.0,28.0,30.7,33.0,25.04,4.83
성인,F,40~44,item_f007,악력(좌),2035,17.1,19.14,21.9,25.0,27.9,30.7,32.5,24.93,4.68
성인,F,45~49,item_f007,악력(좌),2225,16.7,18.6,21.4,24.4,27.4,30.1,31.6,24.37,4.78
성인,F,50~54,item_f007,악력(좌),2652,16.1,18.0,20.8,23.8,26.8,29.3,30.9,23.76,4.7
성인,F,55~59,item_f007,악력(좌),3069,16.4,18.0,20.3,23.2,25.8,28.5,30.2,23.16,4.37
성인,F,60~64,item_f007,악력(좌),3249,15.7,17.5,19.9,22.6,25.2,28.0,30.0,22.65,4.33
성인,F,19~24,item_f012,앉아윗몸앞으로굽히기,6971,-0.3,4.1,10.9,16.6,21.7,25.7,27.85,15.59,8.69
성인,F,25~29,item_f012,앉아윗몸앞으로굽히기,2777,0.0,4.66,11.0,16.8,21.5,25.4,27.4,15.63,8.51
성인,F,30~34,item_f012,앉아윗몸앞으로굽히기,1532,-2.75,2.3,8.9,15.3,20.5,24.4,27.0,14.15,9.1
성인,F,35~39,item_f012,앉아윗몸앞으로굽히기,1729,-0.92,3.1,9.9,15.7,20.6,24.3,26.26,14.53,8.53
성인,F,40~44,item_f012,앉아윗몸앞으로굽히기,1994,-0.67,3.0,9.22,15.0,20.3,24.1,26.3,14.15,8.42
성인,F,45~49,item_f012,앉아윗몸앞으로굽히기,2175,0.0,3.5,9.4,15.1,20.0,23.7,26.1,14.26,8.12
성인,F,50~54,item_f012,앉아윗몸앞으로굽히기,2612,1.2,4.5,10.2,15.5,20.11,23.4,25.4,14.68,7.65
성인,F,55~59,item_f012,앉아윗몸앞으로굽히기,3008,2.8,6.2,11.3,16.5,20.8,24.1,26.1,15.67,7.28
